3000 3
 428      347      -0.125  
 453      247      -0.125  
 453      272      -0.115  
 453      297      -0.125  
 -678     -253     -0.105  
 -678     -228     -0.075  
 -678     -203     -0.055  
 -678     -178     -0.045  
 -678     -153     -0.035  
 -678     -128     -0.025  
 -678     -103     -0.025  
 -678     -78      -0.015  
 -678     -53      -0.015  
 -678     -28      -0.005  
 -678     -3       -0.005  
 -678     22       -0.005  
 -678     47       -0.025  
 -678     72       -0.045  
 -678     97       -0.075  
 -678     122      -0.095  
 -678     147      -0.115  
 -653     -253     -0.115  
 -653     -228     -0.075  
 -653     -203     -0.055  
 -653     -178     -0.035  
 -653     -153     -0.025  
 -653     -128     -0.015  
 -653     -103     -0.015  
 -653     -78      -0.015  
 -653     -53      -0.015  
 -653     -28      -0.005  
 -653     -3       -0.005  
 -653     22       -0.015  
 -653     47       -0.035  
 -653     72       -0.055  
 -653     97       -0.075  
 -653     122      -0.095  
 -653     147      -0.115  
 -628     -228     -0.095  
 -628     -203     -0.055  
 -628     -178     -0.035  
 -628     -153     -0.025  
 -628     -128     -0.015  
 -628     -103     -0.015  
 -628     -78      -0.005  
 -628     -53      -0.005  
 -628     -28      -0.005  
 -628     -3       -0.015  
 -628     22       -0.025  
 -628     47       -0.045  
 -628     72       -0.055  
 -628     97       -0.075  
 -628     122      -0.095  
 -628     147      -0.125  
 -603     -228     -0.125  
 -603     -203     -0.075  
 -603     -178     -0.045  
 -603     -153     -0.025  
 -603     -128     -0.015  
 -603     -103     -0.005  
 -603     -78      -0.005  
 -603     -53      -0.005  
 -603     -28      -0.005  
 -603     -3       -0.015  
 -603     22       -0.035  
 -603     47       -0.045  
 -603     72       -0.065  
 -603     97       -0.085  
 -603     122      -0.115  
 -578     -203     -0.125  
 -578     -178     -0.065  
 -578     -153     -0.035  
 -578     -128     -0.015  
 -578     -103     -0.005  
 -578     -78      -0.005  
 -578     -53      -0.005  
 -578     -28      -0.005  
 -578     -3       -0.015  
 -578     22       -0.035  
 -578     47       -0.055  
 -578     72       -0.075  
 -578     97       -0.105  
 -553     -178     -0.085  
 -553     -153     -0.045  
 -553     -128     -0.025  
 -553     -103     -0.005  
 -553     -78      -0.005  
 -553     -53      -0.005  
 -553     -28      -0.005  
 -553     -3       -0.015  
 -553     22       -0.035  
 -553     47       -0.085  
 -553     72       -0.115  
 -528     -303     -0.115  
 -528     -278     -0.095  
 -528     -253     -0.075  
 -528     -228     -0.065  
 -528     -203     -0.055  
 -528     -178     -0.045  
 -528     -153     -0.035  
 -528     -128     -0.015  
 -528     -103     -0.005  
 -528     -78      -0.005  
 -528     -53      -0.005  
 -528     -28      -0.005  
 -528     -3       -0.015  
 -528     22       -0.045  
 -528     47       -0.095  
 -503     -353     -0.125  
 -503     -328     -0.105  
 -503     -303     -0.085  
 -503     -278     -0.065  
 -503     -253     -0.055  
 -503     -228     -0.035  
 -503     -203     -0.025  
 -503     -178     -0.025  
 -503     -153     -0.015  
 -503     -128     -0.015  
 -503     -103     -0.005  
 -503     -78      -0.005  
 -503     -53      -0.005  
 -503     -28      -0.005  
 -503     -3       -0.015  
 -503     22       -0.045  
